PARTY,ELECTORATE,SURNAME,FIRST NAME(S), TOTAL DONATIONS , TOTAL EXPENSES ,2020 Donor Return Part A Name and Steet Address,Date received,Contributions,Amount,Title,Name,Company/Org,Address,Other detail,Money or Goods and Services,Part B Contribution Name and Address,Date received,Donor Part A,Amount,Name,Company/Org,Address,Other detail,Money or Goods and Services,Notes
Māori Party,Waiariki,WAITITI,Rawiri,,,Whangaparaoa 3B Trust c/o Tuihana Pook SH35 Cape Runaway OPOTIKI 3199,6/21/2020,NO," $2,000.00 ",,,Whangaparaoa 3B Trust ,SH35 Cape Runaway OPOTIKI 3199,c/o Tuihana Pook ,Money,,,,,,,,,,
Māori Party,Waiariki,WAITITI,Rawiri,,,Whangaparaoa 1B2B10 Trust c/o Tuihana Pook SH35 Cape Runaway OPOTIKI 3199,6/21/2020,NO," $4,000.00 ",,,Whangaparaoa 1B2B10 Trust ,SH35 Cape Runaway OPOTIKI 3199,c/o Tuihana Pook ,Money,,,,,,,,,,
Māori Party,Waiariki,WAITITI,Rawiri,,,Whangaparaoa School PTA c/o Tuihana Pook SH35 Cape Runaway OPOTIKI 3199,8/14/2020,NO," $2,500.00 ",,,Whangaparaoa School PTA,SH35 Cape Runaway OPOTIKI 3199,c/o Tuihana Pook,Money,,,,,,,,,,
Māori Party,Waiariki,WAITITI,Rawiri,,,Kauaetangohia Marae c/o Cheryl Waititi SH35 Cape Runaway OPOTIKI 3199,6/11/2020,NO," $4,500.00 ",,,Kauaetangohia Mara,SH35 Cape Runaway OPOTIKI 3199,c/o Cheryl Waititi,Money,,,,,,,,,,
Māori Party,Waiariki,WAITITI,Rawiri,,,Willie Te Aho SH35 Raukokore OPOTIKI 3199,7/27/2020,NO," $10,000.00 ",,Willie Te Aho,,SH35 Raukokore OPOTIKI 3199,,Money,,,,,,,,,,
Māori Party,Waiariki,WAITITI,Rawiri,,,"Heta Ken Hingston, 5 Fleminton Place, Brunswick, Rotorua",01/05/20-31/10/20,NO," $15,000.00 ",,Heta Ken Hingston,,"5 Fleminton Place, Brunswick, Rotorua",,Money,,,,,,,,,,
Labour Party,Hutt South,ANDERSEN,Ginny," $40,090.80 "," $17,296.18 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Hutt South,ANDERSEN,Ginny,,,"QMS NZ Media Limited, 17 Hargreaves Street, Auckland",,NO," $6,440.00 ",,,QMS Media Limited,"17 Hargreaves Street, Auckland",,Money,,,,,,,,,,"Date information incomplete (""1 March 2020-June 2020"")"
Labour Party,Hutt South,ANDERSEN,Ginny,,,"Richard Burrell, Level 3, 218 Willis St, Lower Hutt",,NO," $1,600.00 ",,Richard Burrell,,"Level 3, 218 Willis St, Lower Hutt",,Money,,,,,,,,,,"Date information incomplete (""28 Sept - 16 Oct"")"
Labour Party,Hutt South,ANDERSEN,Ginny,,,"Maryan Street, 10 Rewa Road, Wellington",24/02/20-18/08/20,NO," $3,000.00 ",,Maryan Street,,"10 Rewa Road, Wellington",,Money,,,,,,,,,,
Labour Party,Hutt South,ANDERSEN,Ginny,,,"Kathryn Street, 10 Rewa Road, Wellington",7/23/2020,NO," $2,000.00 ",,Kathryn Street,,"10 Rewa Road, Wellington",,Money,,,,,,,,,,
Labour Party,Hutt South,ANDERSEN,Ginny,,,"Craig Walton, 3/310 Oriental Parade, Wellington",9/19/2020,NO," $2,000.00 ",,Craig Walton,,"3/310 Oriental Parade, Wellington",,Money,,,,,,,,,,
Labour Party,Hutt South,ANDERSEN,Ginny,,,"Hutt South Labour Electorate Committee, 19 Te Whiti Grove, Korokoro, Lower Hutt",6/2/2020,NO," $25,050.00 ",,,Hutt South Labour Electorate Committee,"19 Te Whiti Grove, Korokoro, Lower Hutt",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
Green Party,Auckland Central,SWARBRICK,Chlöe," $41,180.00 "," $19,380.34 ",,,,,,,,,,,,,,,,,,,,
Green Party,Auckland Central,SWARBRICK,Chlöe,,,"Stefan Hack, 26a Versailles Street Karori, Wellington ","10/05/2020, 11/05/2020 ",NO," $1,500.00 ",,Stefan Hack,,"26a Versailles Street Karori, Wellington ",,Money,,,,,,,,,,
Green Party,Auckland Central,SWARBRICK,Chlöe,,,"Lance Wiggs, 4c/11 Pakenham St East, Auckland ",9/7/2020,NO," $2,500.00 ",,Lance Wiggs,,"4c/11 Pakenham St East, Auckland ",,Money,,,,,,,,,,
Green Party,Auckland Central,SWARBRICK,Chlöe,,,"Sajini Jesudason, 9 Cremorne St, Herne Bay, Auckland ","23/06/20, 19/08/20, 19/08/20 ",NO," $12,990.00 ",,Sajini Jesudason ,,"9 Cremorne St, Herne Bay, Auckland ",,Money,,,,,,,,,,
Green Party,Auckland Central,SWARBRICK,Chlöe,,,"Aimee Ralfini, ArtAche, 727 Mount Eden Road Mount Eden, Auckland ",10/14/2020,NO," $10,000.00 ",,Aimee Ralfini ,ArtAche,"727 Mount Eden Road Mount Eden, Auckland ",,Money,,,,,,,,,,
Green Party,Auckland Central,SWARBRICK,Chlöe,,,"Nicholas Stevens, Flat 20 75 Parnell Road, Parnell, Auckland","17/07/20, 27/09/20 ",NO," $1,500.00 ",,Nicholas Stevens ,,"Flat 20 75 Parnell Road, Parnell, Auckland",,Money,,,,,,,,,,
Green Party,Auckland Central,SWARBRICK,Chlöe,,,"Craig Atkinson, 2 King Street,Pahiatua 4910 ","27/07/20, 31/07/20, 17/08/20 ",NO," $2,500.00 ",,Craig Atkinson ,,"2 King Street,Pahiatua 4910 ",,Money,,,,,,,,,,
Green Party,Auckland Central,SWARBRICK,Chlöe,,,"Neil Finn, 151 Newton Rd, Eden Terrace, Auckland ",8/19/2020,NO," $3,000.00 ",,Neil Finn ,,"151 Newton Rd, Eden Terrace, Auckland ",,Money,,,,,,,,,,Entered as a joint donation of $6000 with Sharon Finn
,,,,,,"Sharon Finn, 151 Newton Rd, Eden Terrace, Auckland ",8/19/2020,NO," $3,000.00 ",,Sharon Finn ,,"151 Newton Rd, Eden Terrace, Auckland ",,Money,,,,,,,,,,Entered as a joint donation of $6000 with Neil Finn
Green Party,Auckland Central,SWARBRICK,Chlöe,,,"Victoria Baldwin, 47 Forbes St Onehunga, 1061 ",11/8/2020,NO," $4,050.00 ",,Victoria Baldwin ,," 47 Forbes St Onehunga, 1061 ",,Money,,,,,,,,,,
National Party,Pakuranga,BROWN,Simeon," $41,579.24 "," $21,745.60 ",,,,,,,,,,,,,,,,,,,,
National Party,Pakuranga,BROWN,Simeon,,,"Dalkara GP Ltd, 4 Cunningham Place, Conifer Grove, Takanini",7/27/2020,NO," $3,000.00 ",,,Dalkara GP Ltd,"4 Cunningham Place, Conifer Grove, Takanini",,Money,,,,,,,,,,
National Party,Pakuranga,BROWN,Simeon,,,Pakuranga National Party Electorate Committee (aggregated),11/24/2020,NO," $38,579.24 ",,,Pakuranga National Party Electorate Committee (aggregated),,,Money,,,,,,,,,,Missing address; Missing name of individual at whose direction the donation was made; Unclear what has been aggregated
National Party,Maungakiekie,LEE,Denise," $44,092.79 "," $21,653.39 ",,,,,,,,,,,,,,,,,,,,
National Party,Maungakiekie,LEE,Denise,,,"NZNP Auckland Central Electorate, 41 Pipitea St, Wgtn",5/18/2020,NO," $5,000.00 ",,,NZNP Auckland Central Electorate,"41 Pipitea St, Wgtn",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Maungakiekie,LEE,Denise,,,"NZNP Maungakiekie Electorate, 41 Pipitea St, Wgtn",5/18/2020,NO," $36,765.09 ",,,NZNP Maungakiekie Electorate,"41 Pipitea St, Wgtn",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Maungakiekie,LEE,Denise,,,"GO Rentals, Unit K1/75 Corinthian Drive, Albany, Auckland - rental foregone",8/1/2020,NO," $2,327.70 ",,,GO Rentals,"Unit K1/75 Corinthian Drive, Albany, Auckland",Rental foregone,Goods and Services,,,,,,,,,,
National Party,Banks Peninsula,CHU,Catherine," $44,618.62 "," $18,725.22 ",,,,,,,,,,,,,,,,,,,,
National Party,Banks Peninsula,CHU,Catherine,,,"Angela Chu, 21a Cryndwr Rd, Fendalton, Christchurch",1/17/2020,NO," $2,000.00 ",,Angela Chu,,"21a Cryndwr Rd, Fendalton, Christchurch",,Money,,,,,,,,,,Donated to self
National Party,Banks Peninsula,CHU,Catherine,,,"Cheong JA Chu, 10 Tyndale Place, Ilam",3/16/2020,NO," $2,000.00 ",,Cheong JA Chu,,"10 Tyndale Place, Ilam",,Money,,,,,,,,,,
National Party,Banks Peninsula,CHU,Catherine,,,"NZ National Party Selwyn Electorate, 41 Pipitea St, Wellington",5/25/2020,NO," $2,500.00 ",,,NZ National Party Selwyn Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Banks Peninsula,CHU,Catherine,,,"NZ National Party Banks Peninsula Electorate, 41 Pipitea St, Wellington",,NO," $33,118.62 ",,,NZ National Party Banks Peninsula Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,"Date information incomplete (""27/01, 5/09, 7/10, 29/07, 6/11/20"") - year needs to be specified as dates are not chronological"
National Party,Banks Peninsula,CHU,Catherine,,,"Canterbury Nationalist Centre Inc, 11 Wardour Mews, Avonhead, Christchurch",9/7/2020,NO," $5,000.00 ",,,Canterbury Nationalist Centre,"11 Wardour Mews, Avonhead, Christchurch",(Chair Ross Leckie),Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Te Atatū,NGARO,Alfred," $45,252.86 "," $21,834.13 ",,,,,,,,,,,,,,,,,,,,
National Party,Te Atatū,NGARO,Alfred,,,"NZ National Party, 41 Pipitea St, Wellington",9/30/2020,, $608.06 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing indication of whether Part B applies
National Party,Te Atatū,NGARO,Alfred,,,"NZ National Party, 41 Pipitea St, Wellington",10/15/2020,," $2,100.00 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing indication of whether Part B applies
National Party,Te Atatū,NGARO,Alfred,,,"NZ National Party, 41 Pipitea St, Wellington",10/15/2020,, $900.00 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing indication of whether Part B applies
National Party,Te Atatū,NGARO,Alfred,,,"NZ National Party, 41 Pipitea St, Wellington",9/24/2020,," $4,000.00 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing indication of whether Part B applies
National Party,Te Atatū,NGARO,Alfred,,,"NZ National Party, 41 Pipitea St, Wellington",7/20/2020,," $6,000.00 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing indication of whether Part B applies
National Party,Te Atatū,NGARO,Alfred,,,"NZ National Party, 41 Pipitea St, Wellington",7/20/2020,," $3,000.00 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing indication of whether Part B applies
National Party,Te Atatū,NGARO,Alfred,,,"NZ National Party, 41 Pipitea St, Wellington",7/25/2020,," $2,000.00 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing indication of whether Part B applies
National Party,Te Atatū,NGARO,Alfred,,,"NZ National Party, 41 Pipitea St, Wellington",7/28/2020,," $3,500.00 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing indication of whether Part B applies
National Party,Te Atatū,NGARO,Alfred,,,"NZ National Party, 41 Pipitea St, Wellington",7/16/2020,," $10,000.00 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing indication of whether Part B applies
National Party,Te Atatū,NGARO,Alfred,,,"NZ National Party, 41 Pipitea St, Wellington",6/26/2020,, $500.00 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing indication of whether Part B applies
National Party,Te Atatū,NGARO,Alfred,,,"NZ National Party, 41 Pipitea St, Wellington",6/26/2020,," $1,000.00 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing indication of whether Part B applies
National Party,Te Atatū,NGARO,Alfred,,,"NZ National Party, 41 Pipitea St, Wellington",7/17/2020,," $1,444.80 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing indication of whether Part B applies
National Party,Te Atatū,NGARO,Alfred,,,"NZ National Party, 41 Pipitea St, Wellington",8/31/2020,," $2,000.00 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing indication of whether Part B applies
National Party,Te Atatū,NGARO,Alfred,,,"NZ National Party, 41 Pipitea St, Wellington",9/29/2020,," $1,000.00 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing indication of whether Part B applies
National Party,Te Atatū,NGARO,Alfred,,,"NZ National Party, 41 Pipitea St, Wellington",9/29/2020,," $1,000.00 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing indication of whether Part B applies
National Party,Te Atatū,NGARO,Alfred,,,"NZ National Party, 41 Pipitea St, Wellington",10/15/2020,," $6,200.00 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing indication of whether Part B applies
National Party,Papakura,COLLINS,Judith," $45,507.69 "," $20,497.25 ",,,,,,,,,,,,,,,,,,,,
National Party,Papakura,COLLINS,Judith,,,"South Auckland Motors, 2 Gladding Place, Manukau, Auckland 121 Days",17/06/20-16/10/20,NO," $2,200.00 ",,,South Auckland Motors,"2 Gladding Place, Manukau, Auckland",121 Days,,,,,,,,,,,"Unclear what ""121 days"" refers to - if use of vehicle then this needs to specified"
National Party,Papakura,COLLINS,Judith,,,"NZ National Party, 41 Pipitea St, Wellington",7/31/2020,NO," $4,926.94 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Papakura,COLLINS,Judith,,,"NZ National Party, 41 Pipitea St, Wellington",8/31/2020,NO," $2,533.73 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Papakura,COLLINS,Judith,,,"NZ National Party, 41 Pipitea St, Wellington",9/30/2020,NO," $10,165.58 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Papakura,COLLINS,Judith,,,"NZ National Party, 41 Pipitea St, Wellington",10/31/2020,NO," $5,471.47 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Papakura,COLLINS,Judith,,,"NZ National Party, 41 Pipitea St, Wellington",11/2/2020,NO," $20,209.97 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Tauranga,BRIDGES,Simon," $46,500.00 "," $19,879.09 ",,,,,,,,,,,,,,,,,,,,
National Party,Tauranga,BRIDGES,Simon,,,"NZ National Party, Tauranga Electorate, 41 Pipitea Street, Wellington",7/28/2020,NO," $46,500.00 ",,,"NZ National Party, Tauranga Electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
Labour Party,Hamilton East,STRANGE,Jamie," $47,878.00 "," $19,313.85 ",,,,,,,,,,,,,,,,,,,,Has not declared donations as disclosed in Guarav Sharma's donation return
Labour Party,Hamilton East,STRANGE,Jamie,,,"Stark Properties, Panama Square, East Lobby, Level One, 14 Garden Place, Hamilton 3204 ",3/1/2020,NO," $8,000.00 ",,,Stark Properties,"Panama Square, East Lobby, Level One, 14 Garden Place, Hamilton 3204 ",,Money,,,,,,,,,,
Labour Party,Hamilton East,STRANGE,Jamie,,,"Troy Hillard, 5/278 Kahikatea Drive, Hamilton ",7/27/2020,NO," $2,075.00 ",,Troy Hillard,,"5/278 Kahikatea Drive, Hamilton ",,Money,,,,,,,,,,
Labour Party,Hamilton East,STRANGE,Jamie,,,"Arun Jacobs, Shop 2, 426 Victoria Street, Hamilton 3204 ",8/1/2020,NO," $4,000.00 ",,Arun Jacobs,,"Shop 2, 426 Victoria Street, Hamilton 3204 ",,Money,,,,,,,,,,
Labour Party,Hamilton East,STRANGE,Jamie,,,"Hamilton East Labour Party, c/o 74 Cook Street, Hamilton East",4/25/2020,NO," $33,803.00 ",,,Hamilton East Labour Party,"c/o 74 Cook Street, Hamilton East",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
Labour Party,Napier,NASH,Stuart," $49,503.80 "," $23,154.59 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Napier,NASH,Stuart,,,"Troy Bowker, 3 Central Tce, Wellington",6/8/2020,NO," $10,000.00 ",,Troy Bowker,,"3 Central Tce, Wellington",,Money,,,,,,,,,,
Labour Party,Napier,NASH,Stuart,,,"Phil McCaw, 169 Karema Street, Wellington",8/3/2020,NO," $6,500.00 ",,Phil McCaw,,"169 Karema Street, Wellington",,Money,,,,,,,,,,
Labour Party,Napier,NASH,Stuart,,,"Bostock Group, 5 Kirkwood Road, Hastings",8/10/2020,NO," $2,000.00 ",,,Bostock Group,"5 Kirkwood Road, Hastings",,Money,,,,,,,,,,
Labour Party,Napier,NASH,Stuart,,,"Tirohanga Holdings, Level 12, Midland Chambers, 45 Johnson St, Wellington",8/17/2020,NO," $5,000.00 ",,,Tirohanga Holdings Limited,"Level 12, Midland Chambers, 45 Johnson St, Wellington",,Money,,,,,,,,,,
Labour Party,Napier,NASH,Stuart,,,"Andrew Kelly, 61 Manuwai Drive, Tauranga",9/2/2020,NO," $5,000.00 ",,Andrew Kelly,,"61 Manuwai Drive, Tauranga",,Money,,,,,,,,,,
Labour Party,Napier,NASH,Stuart,,,"Tenon, 100 Centennial Drive, Taupo",9/4/2020,NO," $9,503.80 ",,,Tenon,"100 Centennial Drive, Taupo",,Money,,,,,,,,,,
Labour Party,Napier,NASH,Stuart,,,"Red Stag, P.O. Box 6000, Rotorua, Waipa State Mill Road, Rotorua",9/18/2020,NO," $5,000.00 ",,,Red Stag,"P.O. Box 6000, Rotorua, Waipa State Mill Road, Rotorua",,Money,,,,,,,,,,
Labour Party,Napier,NASH,Stuart,,,"Shah Aslam So Capital Experiential, 250 Wakefield Street, Wellington",10/7/2020,NO," $6,500.00 ",,Shah Aslam ,So Captial Experiential ,"250 Wakefield Street, Wellington",,Money,,,,,,,,,,
National Party,Wellington Central,WILLIS,Nicola," $50,744.06 "," $24,462.99 ",,,,,,,,,,,,,,,,,,,,
National Party,Wellington Central,WILLIS,Nicola,,,"Graham Bloxham & Assoc, 12A Hohiria Rd, Hataitai Wellington",6/11/2020,NO," $2,500.00 ",,,Graham Bloxham & Assoc,"12A Hohiria Rd, Hataitai Wellington",,Money,,,,,,,,,,
National Party,Wellington Central,WILLIS,Nicola,,,"Pohara Trust, Chairperson Zoran Barbalich, 51 Malam St, Karori, Wellington",7/27/2020,NO," $2,000.00 ",,,Pohara Trust,"51 Malam St, Karori, Wellington",Chairperson Zoran Barbalich,Money,,,,,,,,,,
National Party,Wellington Central,WILLIS,Nicola,,,"Sir John Key, 107 St Stephens Avenue, Parnel, Auckland",7/30/2020,NO," $2,000.00 ", Sir  ,John Key,,"107 St Stephens Avenue, Parnel, Auckland",,Money,,,,,,,,,,
National Party,Wellington Central,WILLIS,Nicola,,,"Christopher Parkin, 803/257 Wakefield Street, Te Aro",8/3/2020,NO," $2,500.00 ",,Christopher Parkin,,"803/257 Wakefield Street, Te Aro",,Money,,,,,,,,,,
National Party,Wellington Central,WILLIS,Nicola,,,"Thornhill Cooper Ltd, Level 12, 45 Johnston Street, Wellington",8/3/2020,NO," $5,000.00 ",,,Thornhill Cooper Ltd,"Level 12, 45 Johnston Street, Wellington",,Money,,,,,,,,,,
National Party,Wellington Central,WILLIS,Nicola,,,"NZ National Party, Wellington Central Electorate, 41 Pipitea Street, Wellington",25/01/18-1/12/20,NO," $36,744.06 ",,,"NZ National Party, Wellington Central Electorate","41 Pipitea Street, Wellington",,Money,,,,,,,,,,
Labour Party,Manurewa,WILLIAMS,Arena," $51,500.00 "," $12,888.10 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Manurewa,WILLIAMS,Arena,,,"Hon Robert Smellie QC, Grace Joel Retirement Village, 59/184 St Heliers Bay Rd Akld 1071 ",6/30/2020,NO," $25,000.00 "," Hon, QC ",Robert Smellie,,"Grace Joel Retirement Village, 59/184 St Heliers Bay Rd Akld 1071",,Money,,,,,,,,,,
Labour Party,Manurewa,WILLIAMS,Arena,,,"Selwyn Lyall Pellet, 410 Brookby Road, Whitford, Akld 2576 ",6/22/2020,NO," $10,000.00 ",,Selwyn Lyall Pellet,,"410 Brookby Road, Whitford, Akld 2576 ",,Money,,,,,,,,,,
Labour Party,Manurewa,WILLIAMS,Arena,,,"Nicholas Roger Sedley Wells, 379 Richmond Rd, Grey Lynn, Akld 1021 ",7/1/2020,NO," $3,000.00 ",,Nicholas Roger Sedley Wells,,"379 Richmond Rd, Grey Lynn, Akld 1021",,Money,,,,,,,,,,
Labour Party,Manurewa,WILLIAMS,Arena,,,"Jacqueline Allan, 375 Ness Valley Road, Ness Valley, Akld, 2585 ",6/24/2020,NO," $13,500.00 ",,Jacqueline Allan,,"375 Ness Valley Road, Ness Valley, Akld, 2585 ",,Money,,,,,,,,,,
Labour Party,Te Atatū,TWYFORD,Phil," $51,999.00 "," $24,098.16 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Te Atatū,TWYFORD,Phil,,,"Simon Hall - Tasti Foods, 25-41 Totara Road, Te Atatu Peninsula, Auckland 0610 ",3/30/2020,NO," $20,000.00 ",,Simon Hall,Tasti Foods,"25-41 Totara Road, Te Atatu Peninsula, Auckland 0610",,Money,,,,,,,,,,
Labour Party,Te Atatū,TWYFORD,Phil,,,"Rail & Maritime Union, 1 Thorndon Quay, Wellington ",6/2/2020,NO," $3,000.00 ",,,Rail & Maritime Union,"1 Thorndon Quay, Wellington",,Money,,,,,,,,,,
Labour Party,Te Atatū,TWYFORD,Phil,,,"Jeff Douglas, 2 Te Pai Place, Henderson, Auckland 0610 ",6/3/2020,NO," $5,000.00 ",,Jeff Douglas,,"2 Te Pai Place, Henderson, Auckland 0610 ",,Money,,,,,,,,,,
Labour Party,Te Atatū,TWYFORD,Phil,,,"David Sutherland, 8/14 Henderson Valley Road, Henderson, Auckland 0612 ",7/1/2020,NO," $14,999.00 ",,David Sutherland,,"8/14 Henderson Valley Road, Henderson, Auckland 0612 ",,Money,,,,,,,,,,
Labour Party,Te Atatū,TWYFORD,Phil,,,"Cleanmaster International, 75 Barrys Rd, Glendene 0602 ",7/3/2020,NO," $5,000.00 ",,,Cleanmaster International,"75 Barrys Rd, Glendene 0602 ",,Money,,,,,,,,,,
Labour Party,Te Atatū,TWYFORD,Phil,,,"Pravin Kumar, 5A Bedford St, Te Atatu South ",8/7/2020,NO," $2,000.00 ",,Pravin Kumar,,"5A Bedford St, Te Atatu South ",,Money,,,,,,,,,,
Labour Party,Te Atatū,TWYFORD,Phil,,,"Ahmed Bhamji, 16 Ascania Pl, Lynfield, Auckland ",10/5/2020,NO," $2,000.00 ",,Ahmed Bhamji,,"16 Ascania Pl, Lynfield, Auckland ",,Money,,,,,,,,,,
National Party,Northcote,BIDOIS,Dan," $53,168.37 "," $21,007.30 ",,,,,,,,,,,,,,,,,,,,
National Party,Northcote,BIDOIS,Dan,,,"NZ National Party Northcote Electorate, 41 Pipitea St, Wellington",1/1/20 - 31/5/20,NO, $243.12 ,,,NZ National Party Northcote Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Northcote,BIDOIS,Dan,,,"NZ National Party Northcote Electorate, 41 Pipitea St, Wellington",1/6/20-30/6/20,NO, $798.51 ,,,NZ National Party Northcote Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Northcote,BIDOIS,Dan,,,"NZ National Party Northcote Electorate, 41 Pipitea St, Wellington",1/7/20-31/7/20,NO," $8,561.41 ",,,NZ National Party Northcote Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Northcote,BIDOIS,Dan,,,"NZ National Party Northcote Electorate, 41 Pipitea St, Wellington",1/8/20-31/8/20,NO," $11,545.23 ",,,NZ National Party Northcote Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Northcote,BIDOIS,Dan,,,"NZ National Party Northcote Electorate, 41 Pipitea St, Wellington",1/9/20-31/9/20,NO," $9,105.76 ",,,NZ National Party Northcote Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Northcote,BIDOIS,Dan,,,"NZ National Party Northcote Electorate, 41 Pipitea St, Wellington",1/10/20-31/10/20,NO," $18,875.51 ",,,NZ National Party Northcote Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Northcote,BIDOIS,Dan,,,"NZ National Party Northcote Electorate, 41 Pipitea St, Wellington",1/11/20-26/11/20,NO," $4,038.83 ",,,NZ National Party Northcote Electorate,"41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Taieri,KERNAGHAN,Liam," $56,393.05 "," $21,345.85 ",,,,,,,,,,,,,,,,,,,,
National Party,Taieri,KERNAGHAN,Liam,,,"NZ National Party, Taieri electorate, 41 Pipitea Street, Wellington",27/5/20-2/11/20,NO," $56,393.05 ",,,"NZ National Party, Taieri electorate","41 Pipitea Street, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,North Shore,WATTS,Simon," $61,070.65 "," $24,460.30 ",,,,,,,,,,,,,,,,,,,,
National Party,North Shore,WATTS,Simon,,,"NZ National Party, 41 Pipitea Street, Wellington",5/20/2020,NO," $1,167.25 ",,,NZ National Party,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,
National Party,North Shore,WATTS,Simon,,,"NZ National Party, 41 Pipitea Street, Wellington",5/20/2020,NO, $645.00 ,,,NZ National Party,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,
National Party,North Shore,WATTS,Simon,,,"NZ National Party, 41 Pipitea Street, Wellington",5/20/2020,NO, $220.00 ,,,NZ National Party,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,
National Party,North Shore,WATTS,Simon,,,"NZ National Party, 41 Pipitea Street, Wellington",5/29/2020,NO, $512.90 ,,,NZ National Party,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,
National Party,North Shore,WATTS,Simon,,,"NZ National Party, 41 Pipitea Street, Wellington",5/29/2020,NO, $714.36 ,,,NZ National Party,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,
National Party,North Shore,WATTS,Simon,,,"NZ National Party, 41 Pipitea Street, Wellington",6/5/2020,NO," $1,334.00 ",,,NZ National Party,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,
National Party,North Shore,WATTS,Simon,,,"NZ National Party, 41 Pipitea Street, Wellington",6/5/2020,NO," $2,380.50 ",,,NZ National Party,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,
National Party,North Shore,WATTS,Simon,,,"NZ National Party, 41 Pipitea Street, Wellington",6/10/2020,NO, $236.30 ,,,NZ National Party,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,
National Party,North Shore,WATTS,Simon,,,"NZ National Party, 41 Pipitea Street, Wellington",6/18/2020,NO, $164.37 ,,,NZ National Party,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,
National Party,North Shore,WATTS,Simon,,,"NZ National Party, 41 Pipitea Street, Wellington",6/18/2020,NO, $219.17 ,,,NZ National Party,"41 Pipitea Street, Wellington",,Money,,,,,,,,,,
